Severin Dumanli,0,13
Dominik Schmitz,1483.8457521946,24
Nicolas Friden,0,17
Wolfgang Lawall,1249.7711721738,42
Markus Engel,1340.2223473938,129
Norbert Ludanyi,1500.9544077779,28
Stefan Achberger,1205.9361322873,29
Stephan Mikula,1853.9995628195,224
Martin Sterlinger,0,9
Kirill Tryastsin,1200,25
Florian Rankl,1505.4259879758,50
Ingrid Hauben,0,7
Roberto Diercks,1469.4867198884,30
Michael Reich,0,6
Evelyne Sutter,1266.2441169152,28
Sabine Fiegl,1457.7224312879,52
Alexander Becker,1398.7167810797,35
Marcel Glaus,1791.9774881827,98
Andrea Ikervari,1345.7073331435,118
Hans Zbinden,1569.7389118116,107
Marlene Steyrer,0,12
Angela Friedli,1393.5041379359,107
Nicole Stillhard,0,18
Michael Meierhofer,1302.2649808618,73
Rok Slapnik,1323.1900969965,43
Svetlana Zhechkova,0,18
Gerome Bühlmann,1344.3981525362,68
Valentin Mähner,1649.6168148495,130
Bostjan Toman,1592.3984641679,51
Daniela Perlega,0,13
Lukas Widner,1471.1262845082,21
Mario Tomov,1517.0557925643,27
Christian Stüdi,1685.2312648296,24
Daniel Agaoglu,1600.8918780292,32
Marisa Kobler,0,1
Patrick Höflinger,0,5
Dominik Sárkány,1716.4309468379,59
David Navratil,1488.3163410397,29
Benjamin Klotz,0,9
Günter Breuer,0,11
Petra Hvala,0,19
Marvin Pohl,1499.285965039,23
Bernhard Dunkl,0,5
Dominik Wottke,1457.3029260181,137
Debora Blessing,1326.7640177487,21
Christian Eckhart,0,13
Ilir Leka,0,17
Ahmad Al-Zoubi,1324.3607714207,84
Ines Fryc,0,15
Jennifer Veith,1255.7023918148,30
Julia Wohlmertsberger,1324.8322668747,104
Volker Schwinn,0,15
Vladimir Kojic,1388.3722697198,112
Markus Dengg,0,7
Markus Kremsleitner,1208.4109284473,132
Nina Schütz,1418.6631057619,21
Felix Droese,1677.8979793361,54
Jakub Ondryás,1472.2421932673,49
Markus Schützenhofer,1510.0870266343,30
Ramona Siegenthaler,1406.7643555763,108
Roberto-Cristian Öhlinger,1354.896420344,67
Laszlo Teke,1851.259287461,164
Yannick Correia,0,15
Patric Mätzener,1464.9733561351,32
Olga Shumilova,1357.6045717791,33
Giuseppe Messina,1264.8604160835,65
Mark Reizelsdorfer,1517.3020550076,190
Niklaas Westermann,1627.5622613988,45
Patricio Hirschi,1362.066644326,35
Matthias Bauer,1454.2340026194,57
Randy Stucki,1316.5633329774,68
Patrick Kuster,0,10
Ahmad Al-Zoubi,0,10
Sven Hehner,0,17
Horst Winkelmann,1587.3542123443,227
Juris Brustein,0,12
Fatih Lale,0,14
Oke Harms,1692.0534664474,96
Angelika Lukschander,1506.6655016468,135
Valentyn Minchuk,1225.2671729384,27
Anna Feichtinger,0,4
Mario Binder,1602.7800324886,171
Bruno Kölliker,1346.537751529,31
Marco Patrick Niedermayer,1681.6692332449,204
Hanna Steyrer,0,13
Mehmet Ali Sahin,0,2
Kostiantyn Chapkov,1348.7934694956,32
Cameo Miller-Aichholz,1246.1425338873,112
Karen Scheuer,1503.4075479546,112
Victoria Lenk,0,10
Corinna Harmening,0,7
Gábor Rozsos,1807.343572865,100
Katrin Bauer,1236.6372748761,21
Vojtech Holub,0,11
Konstantin Pilin,1236.4355631795,26
Enes Ceman,1409.0375535052,73
Dirk Droese,1517.1537373562,35
Wolfgang Roiter,1289.9947910969,30
Andras Polacsek,0,13
Luana Lomello,1337.6800102862,72
Philipp Lechner,0,6
Maria Pader,1271.110830291,22
Divyam Ruth Täschler,1370.383091732,20
Ivan Stepisnik,0,17
Noémi Takács,1662.5106159519,86
Anonymous Anonymous,0,6
Mario Barac,1278.3463896959,69
Ferit Scheinecker,1215.8595962318,134
Golshan Chamani,1332.9313961856,70
Jana Pankova,0,12
Christopher Marks,0,2
Ádám Pusztaszegi,1574.7339130081,122
Ivan Leis,1384.2492457743,67
Sophie Landers,1200,46
Mark Lukaseder,0,7
Markus Thiel,1618.0773944759,66
Jirí Kracík,0,10
Philip Pesic,0,4
Alexandra Bertl,0,14
Ladislav Krepela,1739.0246379574,21
Sebastian Wiesinger,1484.2460870802,49
Arpad Wicki,1434.6293356527,70
Brian Perschl,0,7
Ihor Shulhin,1327.3039146545,35
Philipp Mayer,0,19
Kendy Kuhn,1379.9230488387,59
Hermann Fritsche,1600.208826789,114
Marc Stoffel,1648.1872555849,43
Yulia Medvedeva,1200,58
Cindy Kubiatowicz,1650.3860068023,57
Zoltán Kertész,1481.1015987253,20
Vladislav Popovic,1590.8806984371,112
Matthias Bauer,0,5
Alexander Riedling,0,9
Christian Frank,0,11
Judith Spielauer,1285.1635265117,38
Dominik Zeller,1211.4181851607,32
Martin Schirmer,1377.1610669401,97
Misa Vasic,0,6
Alexander Stingeder,1439.0445849325,34
Jackie Han,0,19
Raphael Hirschi,1382.0236724828,36
Johannes Derntl,1474.3255164715,76
Michael Blaser,1229.291213263,63
Marc Burri,1449.8604685922,38
Martin H. Felder,0,16
Fabian Rochelt,0,7
Alexander Petrov,1311.2959363581,28
Olena Starko,1290.7884418905,35
Christina Kaill,0,6
Andreas Pribyl,0,7
Dominik Schöpf,1372.7998038091,87
Ondrej Chovanec,0,12
Wolfgang Luftensteiner,1413.9478558474,190
Wilson Saq,1275.0021344059,60
Balázs Tari,1584.8153955121,23
Erwin Krammel,1459.156653483,138
Andreas Schlumpf,1406.5935246492,78
Marvin Borth,1246.1602426279,33
Lukas Bärtsch,1512.0495297513,115
Philipp Gamper,1427.1443558595,24
Christophe Lerat,0,2
Robert Mauer,1559.5995554285,64
Dominik Christke,1501.5446128434,29
Florian Neuhold,1629.277580588,38
Michael Buchegger,0,11
Johannes Bamberger,1513.2581273192,45
Vanessa Pütz,1403.7633101903,82
Andre Hanhart,1414.2432017894,55
Rüdiger Treinen,1525.5730762051,24
Winfried Neuhaus,0,10
Stefan Schöb,0,18
Mark Lehr,1503.2052018625,159
Paul Sochiera,1528.1129067527,28
Callum Oakes,1398.870721017,52
Simon Eggenberger,1479.4928896231,99
